customer_id,gender,age,city,signup_date,order_date,restaurant_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,delivery_status,order_value,r_score,f_score,m_score
C4071,Male,Senior,Islamabad,2023-08-24,2024-12-26,Subway,Italian,1,465.75,Card,29,2024-12-27,394,False,-1.0,Cancelled,465.75,1,3,1
C3914,Male,Teenager,Islamabad,2023-08-24,2023-11-29,KFC,Fast Food,4,1140.76,Wallet,23,2025-04-22,492,True,5.0,Delayed,4563.04,3,3,5
C5681,Other,Adult,Islamabad,2023-08-25,2024-11-25,Subway,Continental,1,1285.18,Cash,10,2025-04-09,196,True,2.0,Delayed,1285.18,3,1,2
C2876,Female,Senior,Islamabad,2023-08-25,2024-12-30,KFC,Chinese,2,330.93,Cash,45,2025-07-17,455,False,-1.0,Cancelled,661.86,5,5,1
C5795,Female,Senior,Islamabad,2023-08-26,2023-11-07,KFC,Italian,5,1267.2,Card,32,2024-11-10,72,False,5.0,Delayed,6336.0,1,4,5
C5513,Male,Teenager,Islamabad,2023-08-26,2024-09-15,KFC,Continental,3,1044.89,Card,31,2025-07-20,496,True,2.0,Delayed,3134.67,5,4,4
C6362,Female,Senior,Islamabad,2023-08-26,2023-11-22,Burger King,Chinese,4,343.52,Card,34,2024-09-29,164,False,3.0,Delivered,1374.08,1,4,2
C1454,Female,Adult,Islamabad,2023-08-26,2025-06-26,McDonald's,Italian,2,1030.25,Wallet,5,2025-07-01,273,False,-1.0,Cancelled,2060.5,4,1,3
C5009,Male,Teenager,Islamabad,2023-08-27,2024-03-25,Pizza Hut,Italian,3,795.3,Card,15,2025-06-02,179,True,4.0,Delayed,2385.8999999999996,4,2,3
C5046,Other,Teenager,Islamabad,2023-08-27,2024-08-15,KFC,Chinese,1,196.28,Card,22,2025-08-17,378,True,4.0,Delivered,196.28,5,3,1
C6818,Male,Adult,Islamabad,2023-08-28,2024-10-22,Subway,Chinese,2,118.82,Card,12,2025-05-10,87,False,-1.0,Cancelled,237.64,3,2,1
C3147,Female,Adult,Islamabad,2023-08-30,2024-10-30,Burger King,Continental,4,299.44,Cash,27,2025-02-06,480,True,3.0,Delivered,1197.76,2,3,2
C3256,Other,Senior,Islamabad,2023-08-30,2024-07-06,Pizza Hut,Dessert,3,1310.72,Wallet,41,2025-08-07,47,False,-1.0,Cancelled,3932.16,5,5,4
C3011,Male,Teenager,Islamabad,2023-08-30,2025-01-27,KFC,Italian,4,343.94,Cash,20,2025-07-19,389,False,-1.0,Cancelled,1375.76,5,2,2
C5922,Other,Adult,Islamabad,2023-08-30,2024-08-03,Pizza Hut,Dessert,3,622.55,Cash,32,2024-08-26,92,False,3.0,Delayed,1867.6499999999999,1,4,3
C3797,Other,Teenager,Islamabad,2023-08-30,2024-05-08,Burger King,Chinese,3,266.63,Wallet,13,2024-09-14,429,False,-1.0,Cancelled,799.89,1,2,1
C4465,Female,Adult,Islamabad,2023-08-30,2024-12-13,Burger King,Italian,2,1296.57,Card,16,2025-01-22,31,True,-1.0,Cancelled,2593.14,2,2,4
C6466,Other,Senior,Islamabad,2023-08-31,2024-02-14,KFC,Chinese,1,1492.84,Wallet,50,2025-03-28,423,False,-1.0,Cancelled,1492.84,2,5,3
C6687,Other,Adult,Islamabad,2023-09-01,2025-01-17,KFC,Italian,3,101.29,Wallet,28,2025-06-10,468,True,3.0,Delivered,303.87,4,3,1
C5566,Other,Teenager,Islamabad,2023-09-01,2024-03-25,Subway,Dessert,5,362.35,Cash,23,2025-02-28,309,False,5.0,Delayed,1811.75,2,3,3
C5353,Male,Adult,Islamabad,2023-09-02,2025-03-12,KFC,Dessert,2,1491.88,Cash,44,2025-05-25,330,False,5.0,Delayed,2983.76,3,5,4
C2398,Other,Senior,Islamabad,2023-09-03,2023-12-29,Subway,Chinese,1,1187.79,Cash,41,2025-07-05,22,True,-1.0,Cancelled,1187.79,4,5,2
C6532,Female,Senior,Islamabad,2023-09-03,2024-03-15,Pizza Hut,Dessert,4,579.72,Wallet,40,2025-07-14,170,True,3.0,Delayed,2318.88,5,4,3
C3877,Other,Teenager,Islamabad,2023-09-03,2024-10-22,KFC,Continental,4,213.52,Cash,50,2025-01-22,24,False,-1.0,Cancelled,854.08,2,5,2
C4158,Male,Senior,Islamabad,2023-09-04,2024-04-27,KFC,Chinese,3,566.9,Wallet,22,2025-03-27,387,False,-1.0,Cancelled,1700.6999999999998,2,3,3
