customer_id,gender,age,city,signup_date,order_date,restaurant_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,delivery_status,order_value,r_score,f_score,m_score,rfm_score
C6543,Other,Adult,Karachi,2023-08-24,2023-09-28,Burger King,Fast Food,5,1213.62,Cash,45,2024-10-10,418,True,4.0,Delivered,6068.099999999999,1,5,5,11
C5146,Other,Senior,Karachi,2023-08-24,2024-12-17,KFC,Dessert,5,596.96,Wallet,1,2025-05-16,24,False,4.0,Delayed,2984.8,3,1,4,8
C3579,Male,Adult,Karachi,2023-08-24,2023-10-13,Pizza Hut,Continental,2,1443.25,Cash,15,2025-02-23,270,True,3.0,Delayed,2886.5,2,2,4,8
C4975,Female,Teenager,Karachi,2023-08-25,2025-06-20,Burger King,Dessert,1,673.86,Wallet,38,2025-07-07,439,True,2.0,Delivered,673.86,4,4,1,9
C2748,Other,Teenager,Karachi,2023-08-25,2024-07-07,Pizza Hut,Dessert,2,1304.8,Cash,2,2024-12-01,435,True,-1.0,Cancelled,2609.6,1,1,4,6
C1351,Female,Adult,Karachi,2023-08-26,2024-06-16,KFC,Chinese,3,761.47,Card,3,2025-01-08,240,True,2.0,Delivered,2284.41,1,1,3,5
C2454,Other,Teenager,Karachi,2023-08-27,2023-12-04,KFC,Italian,1,249.9,Cash,20,2025-03-22,70,True,1.0,Delayed,249.9,2,2,1,5
C4046,Other,Adult,Karachi,2023-08-27,2024-11-10,Subway,Continental,4,1226.08,Cash,32,2025-02-06,372,False,4.0,Delivered,4904.32,2,4,5,11
C2583,Female,Adult,Karachi,2023-08-29,2024-08-10,Pizza Hut,Fast Food,1,492.46,Cash,10,2025-01-16,383,False,1.0,Delivered,492.46,2,1,1,4
C5895,Female,Adult,Karachi,2023-08-29,2025-02-12,McDonald's,Chinese,2,1221.24,Cash,13,2025-02-19,286,False,-1.0,Cancelled,2442.48,2,2,4,8
C2727,Other,Senior,Karachi,2023-08-30,2024-11-05,Subway,Continental,1,1416.38,Wallet,27,2024-11-27,25,True,-1.0,Cancelled,1416.38,1,3,2,6
C3210,Other,Teenager,Karachi,2023-09-01,2025-02-08,Burger King,Fast Food,2,528.24,Cash,24,2025-06-05,149,True,4.0,Delayed,1056.48,4,3,2,9
