customer_id,gender,age,city,signup_date,order_date,restaurant_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,delivery_status,order_value,r_score,f_score,m_score,rfm_score
C4339,Other,Senior,Lahore,2023-08-24,2023-12-29,KFC,Dessert,1,1156.69,Cash,35,2024-12-21,418,True,-1.0,Cancelled,1156.69,1,4,2,7
C6423,Male,Adult,Lahore,2023-08-24,2025-04-08,McDonald's,Continental,5,672.91,Wallet,31,2025-05-25,347,False,-1.0,Cancelled,3364.5499999999997,3,4,4,11
C5535,Male,Adult,Lahore,2023-08-24,2025-04-08,Subway,Continental,2,645.52,Cash,32,2025-07-30,133,False,4.0,Delayed,1291.04,5,4,2,11
C5092,Female,Adult,Lahore,2023-08-25,2023-10-05,Subway,Chinese,1,1485.16,Card,46,2025-04-24,171,True,3.0,Delayed,1485.16,3,5,3,11
C2747,Female,Adult,Lahore,2023-08-25,2024-08-30,Subway,Italian,2,802.12,Wallet,22,2024-09-15,32,True,-1.0,Cancelled,1604.24,1,3,3,7
C3406,Female,Teenager,Lahore,2023-08-25,2024-02-25,Pizza Hut,Italian,1,1394.47,Cash,13,2025-06-16,273,True,2.0,Delayed,1394.47,4,2,2,8
C5497,Other,Adult,Lahore,2023-08-25,2024-10-21,Burger King,Continental,5,785.37,Card,49,2025-01-26,463,False,2.0,Delivered,3926.85,2,5,4,11
C5124,Male,Adult,Lahore,2023-08-26,2024-12-13,McDonald's,Continental,3,1065.15,Cash,38,2025-05-25,250,True,-1.0,Cancelled,3195.4500000000003,3,4,4,11
C6250,Male,Teenager,Lahore,2023-08-26,2024-06-29,McDonald's,Chinese,5,576.33,Card,7,2025-05-03,60,False,-1.0,Cancelled,2881.65,3,1,4,8
C3338,Female,Senior,Lahore,2023-08-26,2023-12-04,McDonald's,Chinese,2,1471.81,Wallet,25,2024-12-27,444,False,3.0,Delivered,2943.62,1,3,4,8
C1614,Other,Adult,Lahore,2023-08-26,2023-12-31,Subway,Italian,1,956.03,Card,39,2025-04-19,167,True,5.0,Delivered,956.03,3,4,2,9
C1827,Other,Adult,Lahore,2023-08-27,2024-05-24,Burger King,Italian,2,522.0,Cash,12,2025-03-30,246,True,3.0,Delayed,1044.0,2,2,2,6
C3588,Other,Teenager,Lahore,2023-08-27,2024-01-07,Subway,Continental,1,364.91,Card,1,2025-05-06,98,False,5.0,Delayed,364.91,3,1,1,5
C6194,Female,Adult,Lahore,2023-08-28,2023-10-09,Subway,Continental,3,1120.65,Card,46,2024-12-02,453,False,-1.0,Cancelled,3361.9500000000003,1,5,4,10
C1490,Other,Senior,Lahore,2023-08-28,2024-12-02,Pizza Hut,Fast Food,2,1431.45,Wallet,15,2025-05-04,190,True,-1.0,Cancelled,2862.9,3,2,4,9
C4554,Other,Teenager,Lahore,2023-08-31,2024-06-20,Subway,Continental,5,575.25,Card,8,2025-04-15,168,False,-1.0,Cancelled,2876.25,3,1,4,8
C1842,Female,Teenager,Lahore,2023-08-31,2024-09-17,Pizza Hut,Dessert,3,1487.08,Cash,2,2025-04-27,205,False,5.0,Delivered,4461.24,3,1,5,9
C6668,Other,Senior,Lahore,2023-08-31,2024-08-28,Pizza Hut,Fast Food,2,181.27,Cash,12,2024-10-14,364,True,-1.0,Cancelled,362.54,1,2,1,4
C3239,Female,Senior,Lahore,2023-08-31,2023-09-13,Pizza Hut,Chinese,5,1475.86,Card,13,2025-07-13,59,False,-1.0,Cancelled,7379.299999999999,4,2,5,11
C5134,Male,Senior,Lahore,2023-09-02,2025-02-23,Burger King,Chinese,3,184.12,Card,41,2025-05-02,491,True,-1.0,Cancelled,552.36,3,5,1,9
C2760,Other,Teenager,Lahore,2023-09-02,2025-04-10,McDonald's,Dessert,4,664.08,Cash,20,2025-07-26,354,True,-1.0,Cancelled,2656.32,5,2,4,11
C5132,Male,Teenager,Lahore,2023-09-02,2024-09-13,Subway,Fast Food,2,941.02,Wallet,5,2025-07-18,468,False,1.0,Delivered,1882.04,5,1,3,9
C2631,Female,Adult,Lahore,2023-09-03,2024-11-08,Subway,Continental,2,1174.62,Card,50,2025-02-11,64,False,-1.0,Cancelled,2349.24,2,5,3,10
C3705,Other,Teenager,Lahore,2023-09-04,2024-05-15,Burger King,Italian,3,881.71,Wallet,16,2025-06-25,26,False,-1.0,Cancelled,2645.13,4,2,4,10
C4636,Female,Teenager,Lahore,2023-09-04,2024-01-27,Subway,Fast Food,4,1303.08,Wallet,19,2025-07-09,62,False,1.0,Delayed,5212.32,4,2,5,11
C3992,Male,Teenager,Lahore,2023-09-05,2024-07-21,Subway,Italian,5,904.16,Card,10,2025-02-20,118,True,4.0,Delayed,4520.8,2,1,5,8
C5633,Other,Adult,Lahore,2023-09-06,2024-12-07,KFC,Italian,5,218.68,Wallet,26,2025-05-20,249,False,4.0,Delivered,1093.4,3,3,2,8
C6282,Female,Senior,Lahore,2023-09-06,2024-03-18,KFC,Italian,5,626.86,Card,47,2025-03-28,117,True,4.0,Delayed,3134.3,2,5,4,11
C5399,Other,Teenager,Lahore,2023-09-07,2024-04-12,Burger King,Continental,4,1043.78,Card,6,2025-04-15,114,False,2.0,Delayed,4175.12,3,1,5,9
C1370,Male,Senior,Lahore,2023-09-07,2025-04-12,KFC,Chinese,3,1186.98,Card,11,2025-04-27,134,True,-1.0,Cancelled,3560.94,3,1,4,8
C1847,Male,Senior,Lahore,2023-09-08,2024-03-01,Subway,Continental,3,1097.28,Card,20,2024-09-22,22,False,5.0,Delayed,3291.84,1,2,4,7
C6796,Other,Teenager,Lahore,2023-09-09,2024-02-27,KFC,Chinese,2,724.91,Cash,18,2024-12-04,438,True,-1.0,Cancelled,1449.82,1,2,3,6
C5637,Male,Senior,Lahore,2023-09-09,2023-11-29,Subway,Continental,3,440.0,Wallet,11,2024-12-23,497,False,3.0,Delivered,1320.0,1,1,2,4
C5088,Other,Senior,Lahore,2023-09-10,2023-09-25,Subway,Fast Food,5,1397.42,Card,18,2024-08-27,36,False,-1.0,Cancelled,6987.1,1,2,5,8
C3941,Other,Adult,Lahore,2023-09-10,2023-10-03,Burger King,Italian,3,257.86,Wallet,47,2025-01-25,327,True,-1.0,Cancelled,773.58,2,5,1,8
C1075,Male,Adult,Lahore,2023-09-10,2023-09-24,Subway,Continental,2,1452.79,Cash,30,2024-10-06,382,False,-1.0,Cancelled,2905.58,1,3,4,8
C6438,Male,Senior,Lahore,2023-09-10,2025-01-26,Burger King,Continental,3,648.85,Card,36,2025-08-19,289,True,5.0,Delivered,1946.5500000000002,5,4,3,12
C3956,Other,Teenager,Lahore,2023-09-11,2024-09-25,Pizza Hut,Chinese,5,365.02,Cash,49,2025-03-30,296,True,-1.0,Cancelled,1825.1,2,5,3,10
C3333,Other,Teenager,Lahore,2023-09-11,2023-12-25,McDonald's,Dessert,5,819.6,Cash,47,2024-11-20,317,True,3.0,Delivered,4098.0,1,5,5,11
C1176,Other,Adult,Lahore,2023-09-12,2025-04-19,Pizza Hut,Dessert,2,746.63,Card,47,2025-08-15,162,False,5.0,Delivered,1493.26,5,5,3,13
C1875,Male,Teenager,Lahore,2023-09-13,2024-11-02,KFC,Chinese,5,1454.36,Card,32,2024-12-26,80,True,-1.0,Cancelled,7271.799999999999,1,4,5,10
C3778,Female,Teenager,Lahore,2023-09-13,2024-01-12,Subway,Chinese,4,802.86,Wallet,44,2024-09-24,97,False,4.0,Delayed,3211.44,1,5,4,10
C6335,Other,Senior,Lahore,2023-09-13,2023-09-21,Subway,Continental,1,390.24,Cash,49,2025-02-15,180,True,1.0,Delayed,390.24,2,5,1,8
C3605,Female,Adult,Lahore,2023-09-13,2024-03-08,Subway,Italian,5,1070.43,Wallet,20,2025-08-09,248,False,4.0,Delayed,5352.150000000001,5,2,5,12
