customer_id,gender,age,city,signup_date,order_date,restaurant_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,delivery_status,order_value,r_score,f_score,m_score,rfm_score
C2831,Male,Adult,Multan,2023-08-23,2024-07-07,KFC,Italian,3,956.04,Wallet,24,2024-11-25,81,False,2.0,Delayed,2868.12,1,3,4,8
C2851,Other,Senior,Multan,2023-08-23,2025-05-10,Pizza Hut,Italian,2,882.51,Cash,42,2025-06-20,82,True,3.0,Delayed,1765.02,4,5,3,12
C3894,Female,Senior,Multan,2023-08-24,2024-09-26,Burger King,Fast Food,1,126.53,Wallet,45,2025-01-24,48,True,-1.0,Cancelled,126.53,2,5,1,8
C4231,Female,Senior,Multan,2023-08-24,2024-11-12,Burger King,Continental,3,796.91,Wallet,39,2025-04-11,5,True,5.0,Delivered,2390.73,3,4,3,10
C2975,Male,Teenager,Multan,2023-08-25,2024-09-28,Pizza Hut,Italian,3,1287.69,Wallet,49,2025-06-05,35,False,4.0,Delivered,3863.07,4,5,4,13
C6340,Male,Senior,Multan,2023-08-26,2024-11-20,Burger King,Continental,2,209.77,Cash,16,2025-07-07,453,False,-1.0,Cancelled,419.54,4,2,1,7
C2827,Male,Teenager,Multan,2023-08-26,2025-03-05,Pizza Hut,Italian,3,192.88,Wallet,26,2025-06-03,18,False,-1.0,Cancelled,578.64,4,3,1,8
C4382,Male,Senior,Multan,2023-08-27,2025-01-20,Pizza Hut,Dessert,3,222.14,Wallet,4,2025-03-25,148,True,2.0,Delayed,666.42,2,1,1,4
C3152,Other,Teenager,Multan,2023-08-27,2024-02-26,Subway,Chinese,3,768.49,Wallet,40,2024-12-23,495,True,5.0,Delivered,2305.4700000000003,1,4,3,8
C4729,Female,Teenager,Multan,2023-08-27,2025-01-31,KFC,Chinese,2,198.12,Card,7,2025-07-18,13,True,-1.0,Cancelled,396.24,5,1,1,7
C3247,Female,Senior,Multan,2023-08-27,2023-11-27,McDonald's,Italian,5,275.53,Cash,7,2024-12-06,138,False,2.0,Delivered,1377.6499999999999,1,1,2,4
C5845,Other,Senior,Multan,2023-08-28,2024-10-14,Subway,Fast Food,3,1056.2,Card,26,2024-11-07,116,False,-1.0,Cancelled,3168.6000000000004,1,3,4,8
C4203,Male,Adult,Multan,2023-08-28,2024-04-17,KFC,Italian,5,167.62,Card,13,2024-09-08,388,False,4.0,Delivered,838.1,1,2,1,4
C1891,Male,Teenager,Multan,2023-08-29,2023-11-28,Pizza Hut,Chinese,5,1275.96,Card,28,2024-11-09,312,True,2.0,Delivered,6379.8,1,3,5,9
C1972,Male,Teenager,Multan,2023-08-29,2024-06-03,McDonald's,Chinese,1,1462.99,Wallet,36,2025-03-26,316,True,-1.0,Cancelled,1462.99,2,4,3,9
C5179,Male,Adult,Multan,2023-08-29,2023-09-03,McDonald's,Fast Food,1,1033.71,Card,47,2024-08-30,4,False,2.0,Delivered,1033.71,1,5,2,8
C3775,Other,Adult,Multan,2023-09-01,2024-09-01,Burger King,Chinese,2,388.86,Cash,31,2024-12-29,39,True,-1.0,Cancelled,777.72,1,4,1,6
C3733,Male,Adult,Multan,2023-09-01,2024-12-18,Burger King,Continental,4,172.76,Wallet,23,2025-05-18,356,True,5.0,Delivered,691.04,3,3,1,7
C6843,Other,Senior,Multan,2023-09-02,2025-04-10,KFC,Italian,4,1014.28,Card,41,2025-07-22,0,False,1.0,Delivered,4057.12,5,5,5,15
C5122,Other,Senior,Multan,2023-09-03,2025-03-30,McDonald's,Chinese,3,1201.49,Cash,37,2025-04-30,293,False,1.0,Delayed,3604.4700000000003,3,4,4,11
C5223,Other,Adult,Multan,2023-09-04,2023-11-01,Subway,Chinese,3,1142.45,Wallet,9,2024-09-08,397,True,1.0,Delayed,3427.3500000000004,1,1,4,6
C1434,Other,Senior,Multan,2023-09-05,2024-03-16,Subway,Chinese,4,949.24,Card,21,2025-06-15,264,False,-1.0,Cancelled,3796.96,4,3,4,11
C3703,Other,Teenager,Multan,2023-09-05,2024-10-30,McDonald's,Fast Food,4,1071.49,Card,39,2025-06-04,1,False,2.0,Delayed,4285.96,4,4,5,13
C1727,Male,Adult,Multan,2023-08-26,2023-09-05,Burger King,Dessert,3,465.28,Wallet,4,2025-06-06,71,False,4.0,Delivered,1395.84,4,1,2,7
C5834,Other,Adult,Multan,2023-09-06,2023-10-06,Pizza Hut,Dessert,4,395.88,Card,37,2024-11-11,113,True,3.0,Delayed,1583.52,1,4,3,8
C4303,Male,Adult,Multan,2023-09-06,2024-10-21,KFC,Dessert,2,893.55,Cash,17,2024-12-18,497,True,3.0,Delayed,1787.1,1,2,3,6
C2514,Male,Teenager,Multan,2023-09-07,2024-08-10,Burger King,Fast Food,3,892.81,Cash,25,2025-07-02,335,True,-1.0,Cancelled,2678.43,4,3,4,11
C5668,Female,Adult,Multan,2023-09-07,2024-10-20,KFC,Fast Food,2,1115.36,Card,9,2025-06-27,294,False,2.0,Delayed,2230.72,4,1,3,8
C5722,Male,Teenager,Multan,2023-09-07,2025-06-26,Burger King,Continental,2,1215.67,Wallet,8,2025-06-29,186,True,4.0,Delivered,2431.34,4,1,3,8
C6999,Female,Adult,Multan,2023-09-08,2024-05-16,Subway,Continental,2,1033.59,Card,1,2025-01-16,255,False,1.0,Delayed,2067.18,2,1,3,6
C1799,Male,Adult,Multan,2023-09-09,2025-02-22,Burger King,Fast Food,3,1128.96,Card,12,2025-08-17,487,False,-1.0,Cancelled,3386.88,5,2,4,11
C2167,Male,Senior,Multan,2023-09-10,2025-01-30,McDonald's,Italian,4,1460.35,Card,9,2025-04-19,315,False,-1.0,Cancelled,5841.4,3,1,5,9
C3321,Male,Teenager,Multan,2023-09-10,2024-05-10,Burger King,Dessert,5,689.01,Card,3,2025-03-08,189,True,-1.0,Cancelled,3445.05,2,1,4,7
C6145,Male,Senior,Multan,2023-09-10,2023-09-30,Subway,Continental,1,512.77,Cash,18,2025-01-01,434,True,-1.0,Cancelled,512.77,1,2,1,4
C6753,Other,Teenager,Multan,2023-09-11,2024-08-24,KFC,Dessert,5,172.45,Cash,6,2025-01-07,338,False,-1.0,Cancelled,862.25,1,1,2,4
C1800,Female,Adult,Multan,2023-09-11,2024-10-31,KFC,Chinese,4,412.61,Cash,47,2025-06-19,392,False,2.0,Delayed,1650.44,4,5,3,12
C1043,Other,Senior,Multan,2023-09-12,2025-01-07,Pizza Hut,Continental,1,664.72,Card,11,2025-07-02,356,True,2.0,Delayed,664.72,4,1,1,6
C5410,Male,Senior,Multan,2023-09-12,2024-01-13,Burger King,Continental,2,1217.64,Cash,27,2025-03-01,115,False,4.0,Delayed,2435.28,2,3,4,9
C5067,Male,Senior,Multan,2023-09-12,2024-08-10,Pizza Hut,Fast Food,1,582.15,Cash,13,2024-12-25,492,False,5.0,Delayed,582.15,1,2,1,4
C1918,Male,Teenager,Multan,2023-09-12,2023-11-29,Pizza Hut,Continental,5,1367.65,Wallet,7,2025-03-05,297,True,4.0,Delivered,6838.25,2,1,5,8
C5102,Male,Adult,Multan,2023-09-13,2024-03-01,Burger King,Chinese,3,1275.91,Card,33,2024-08-30,368,False,4.0,Delayed,3827.7300000000005,1,4,4,9
