customer_id,gender,age,city,signup_date,order_date,restaurant_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,delivery_status,order_value,r_score,f_score,m_score,rfm_score
C5663,Male,Adult,Peshawar,2023-08-23,2024-01-14,McDonald's,Italian,5,1478.27,Cash,38,2025-07-19,238,False,-1.0,Cancelled,7391.35,5,4,5,14
C1694,Female,Senior,Peshawar,2023-08-23,2023-09-05,Subway,Dessert,4,231.3,Card,27,2025-07-24,45,True,2.0,Delayed,925.2,5,3,2,10
C4621,Male,Adult,Peshawar,2023-08-24,2024-02-05,Pizza Hut,Chinese,2,271.74,Cash,14,2025-05-01,429,False,2.0,Delivered,543.48,3,2,1,6
C6144,Other,Teenager,Peshawar,2023-08-25,2024-08-05,Subway,Fast Food,2,991.17,Wallet,6,2025-04-22,101,False,-1.0,Cancelled,1982.34,3,1,3,7
C1929,Female,Teenager,Peshawar,2023-08-26,2023-11-27,KFC,Continental,1,599.7,Wallet,35,2025-06-26,172,False,4.0,Delayed,599.7,4,4,1,9
C5444,Other,Teenager,Peshawar,2023-08-26,2025-04-21,Subway,Chinese,3,1052.17,Cash,12,2025-07-02,14,True,3.0,Delayed,3156.51,4,2,4,10
C4748,Other,Adult,Peshawar,2023-08-26,2024-03-10,Subway,Italian,5,909.48,Wallet,3,2025-07-28,224,True,-1.0,Cancelled,4547.4,5,1,5,11
C6804,Female,Adult,Peshawar,2023-08-28,2025-01-16,Burger King,Continental,3,931.02,Wallet,30,2025-07-10,211,True,3.0,Delayed,2793.06,4,3,4,11
C5286,Other,Adult,Peshawar,2023-08-30,2025-03-09,KFC,Continental,4,1052.03,Cash,44,2025-04-16,107,True,4.0,Delivered,4208.12,3,5,5,13
C3379,Other,Adult,Peshawar,2023-08-30,2023-12-19,McDonald's,Italian,3,519.94,Card,30,2024-10-08,195,False,1.0,Delivered,1559.8200000000002,1,3,3,7
C1557,Female,Teenager,Peshawar,2023-08-31,2024-01-11,Burger King,Chinese,1,1071.22,Cash,5,2025-06-15,56,True,5.0,Delivered,1071.22,4,1,2,7
C6686,Female,Senior,Peshawar,2023-08-31,2024-08-11,KFC,Fast Food,1,397.47,Wallet,5,2025-04-12,180,False,-1.0,Cancelled,397.47,3,1,1,5
C1207,Other,Teenager,Peshawar,2023-08-31,2023-09-23,McDonald's,Italian,4,1143.99,Wallet,26,2024-09-26,323,True,4.0,Delivered,4575.96,1,3,5,9
C2375,Female,Teenager,Peshawar,2023-09-01,2023-11-17,McDonald's,Continental,3,716.53,Card,3,2025-02-20,432,True,-1.0,Cancelled,2149.59,2,1,3,6
C3484,Male,Senior,Peshawar,2023-09-01,2024-10-01,Subway,Fast Food,3,1135.18,Cash,2,2025-08-02,113,False,-1.0,Cancelled,3405.54,5,1,4,10
C4670,Other,Adult,Peshawar,2023-09-02,2024-08-23,Pizza Hut,Italian,3,124.6,Card,26,2025-05-06,297,True,-1.0,Cancelled,373.79999999999995,3,3,1,7
C6071,Female,Senior,Peshawar,2023-09-02,2024-01-23,Pizza Hut,Continental,1,1465.02,Card,45,2025-07-04,420,False,1.0,Delivered,1465.02,4,5,3,12
C5186,Female,Adult,Peshawar,2023-09-02,2023-10-27,Subway,Continental,2,158.21,Cash,8,2024-12-27,321,False,3.0,Delayed,316.42,1,1,1,3
